file,character,setup,mean_gain,n,swing_interval_median,damage_min,damage_max,corr_damage,mean_gain_crit,mean_gain_noncrit
siax_uw_dw_092326.txt,Siax,dual_wield,2.2474747474747474,198,1.3180000000065775,11,33,0.06352505834048663,2.253488372093023,2.245806451612903
siax_uw_dw_092326.txt,Siax,dual_wield,6.230508474576271,118,1.8185000000012224,39,109,0.02295811239449159,6.232258064516129,6.2298850574712645
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,dual_wield,3.110948905109489,274,1.853000000002794,15,47,-0.006599090367032315,3.1113636363636363,3.110869565217391
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,dual_wield,4.496710526315789,152,2.6270000000076834,12,70,0.14485480075079357,4.5,4.495726495726496
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,dual_wield,6.2225,160,1.8724999999903957,16,93,-0.0019328658378511756,6.225,6.221875
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,dual_wield,8.99298245614035,114,2.6010000000096625,48,167,-0.3086578457481873,8.978947368421052,8.99578947368421
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,two_hand,17.096124031007754,129,3.7850000000034925,65,179,-0.14567249970127905,17.092307692307692,17.09655172413793
tarch_uw1_dw_092326.txt,Tarch,dual_wield,3.2878048780487803,82,1.9169999999867287,6,49,-0.15690480771090148,3.2833333333333337,3.288157894736842
tarch_uw1_dw_092326.txt,Tarch,dual_wield,6.90958904109589,73,2.0359999999927823,17,108,-0.05897132461102562,6.9,6.911111111111111
tarch_uw1_2h_092326.txt,Tarch,two_hand,14.841095890410958,73,3.301999999996042,67,191,0.10426171066007955,14.857142857142858,14.83939393939394
tarch_uw2_dw_092326.txt,Tarch,dual_wield,3.283132530120482,83,1.911500000001979,2,53,0.05955190236422153,3.2875,3.282089552238806
tarch_uw2_dw_092326.txt,Tarch,dual_wield,6.92,85,2.033000000010361,37,111,0.05504310602501362,6.923529411764706,6.919117647058823
tarch_uw2_2h_092326.txt,Tarch,two_hand,14.847887323943661,71,3.305999999996857,72,227,0.04072891960429547,14.85,14.847368421052632
tarch_uw3_dw_092326.txt,Tarch,dual_wield,3.2917525773195875,97,1.919000000008964,1,51,0.03731074577145146,3.292307692307692,3.2916666666666665
tarch_uw3_dw_092326.txt,Tarch,dual_wield,6.915909090909091,88,2.032500000001164,24,114,0.032110314662241714,6.913333333333334,6.916438356164383
tarch_uw3_2h_092326.txt,Tarch,two_hand,14.841249999999999,80,3.3000000000029104,62,219,-0.05954362021530306,14.8375,14.8421875
tarch_uw4_dw_092326.txt,Tarch,dual_wield,3.2888888888888888,72,1.926500000001397,1,44,0.016189158351177874,3.3,3.288059701492537
tarch_uw4_dw_092326.txt,Tarch,dual_wield,6.917910447761194,67,2.0489999999990687,17,104,-0.13097227931505115,6.9,6.920689655172414
tarch_uw4_2h_092326.txt,Tarch,two_hand,14.832258064516129,31,3.2839999999996508,63,186,0.06960660991732637,14.85,14.831034482758621
budder_uw1_2h_092326.txt,Budder Pinda,two_hand,16.192162162162163,370,3.603000000002794,84,258,0.05814077704418832,16.196226415094337,16.19148264984227
budder_uw2_2h_092326.txt,Budder Pinda,two_hand,16.191388888888888,360,3.603999999999928,90,259,-0.04478991296712577,16.188095238095237,16.19182389937107
ceece_fishliver_1h_092226.txt,Ceece,one_hand,9.695238095238095,21,2.769000000000233,54,144,-0.09663984064317864,9.7,9.695
ceece_fishliver_2h_092426.txt,Ceece,two_hand,16.663636363636364,22,3.377999999996973,66,155,0.10637609954988851,16.7,16.66190476190476
elvenfresh_hasterage_berserking_1h_092426.txt,Hasterage Tester,one_hand,6.933333333333333,12,1.9759999999987485,5,7,0.2738612787525831,,6.933333333333333
