file,character,level,damage,maxhp,gain
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,86,949,17
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,49,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,36,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,31,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,48,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,116,949,24
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,30,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,41,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,42,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,119,949,24
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,36,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,38,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,45,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,43,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,51,949,10
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,80,949,16
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,51,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,92,949,18
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,56,949,11
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,88,949,17
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,67,949,14
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,66,949,133
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,32,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,32,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,52,949,10
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,29,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,37,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,49,949,10
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,60,949,13
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,48,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,24,949,3
