file,character,setup,t,level,damage,crit,glancing,ap,gain,capped
siax_uw_dw_092326.txt,Siax,dual_wield,39117.439,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39118.658,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39120.041,15,31,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39120.042,15,45,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39121.325,15,16,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39128.281,15,86,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39129.282,15,25,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39131.239,15,48,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39133.0,15,41,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39134.472,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39135.824,15,28,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39136.675,15,52,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39187.104,15,49,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39188.485,15,28,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39189.869,15,27,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39190.637,15,49,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39192.491,15,49,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39193.724,15,13,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39195.042,15,29,True,False,483,143,False
siax_uw_dw_092326.txt,Siax,dual_wield,39204.478,15,96,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39204.728,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39207.247,15,31,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39208.6,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39211.251,15,28,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39212.236,15,103,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39212.519,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39213.837,15,12,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39253.305,15,42,False,False,483,63,False
