9/23/2026 20:35:26.428-5  COMBAT_LOG_VERSION,22,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.60.1,PROJECT_ID,18
9/23/2026 20:45:21.540-5  SPELL_CAST_SUCCESS,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,Player-4613-00848667,0000000000000000,478,507,156,30,392,0,0,0,0,827,1497,65,-3878.20,-3058.63,1437,2.3103,10
9/23/2026 20:45:21.541-5  SPELL_CAST_START,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,0000000000000000,nil,0x80000000,0x80000000,7322,"Frostbolt",0x10
9/23/2026 20:45:21.541-5  SPELL_CAST_SUCCESS,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,1866,"Holy Strike",0x2,Player-4613-00AF5B80,0000000000000000,339,861,533,0,1079,0,0,0,0,34,657,12,-4079.61,-3013.53,1437,0.6601,14
9/23/2026 20:45:21.541-5  SPELL_DAMAGE,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,1866,"Holy Strike",0x2,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,276,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,49,48,-1,2,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:22.041-5  SPELL_CAST_SUCCESS,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,6547,"Rend",0x1,Player-4619-0067141E,0000000000000000,815,939,532,0,1185,0,0,0,1,330,1000,100,-3970.96,-3019.74,1437,0.0886,12
9/23/2026 20:45:22.042-5  SPELL_AURA_APPLIED,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,6547,"Rend",0x1,DEBUFF
9/23/2026 20:45:22.141-5  SPELL_CAST_FAILED,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,0000000000000000,nil,0x80000000,0x80000000,6547,"Rend",0x1,"Not yet recovered"
9/23/2026 20:45:22.540-5  SPELL_AURA_APPLIED,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,DEBUFF
9/23/2026 20:45:22.541-5  SPELL_DAMAGE,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,Creature-0-6783-0-8995-1008-000034809A,0000000000000000,665,746,78,0,932,0,0,0,1,0,0,0,-3888.94,-3028.30,1437,2.2324,22,81,80,-1,16,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:22.941-5  SPELL_AURA_REMOVED,Player-4613-007418E9,"Tonya-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-007418E9,"Tonya-ClassicBetaPvP2-",0x518,0x80000000,1310927,"Light's Fury",0x2,BUFF,8
